image_path,raw_label,clean_label,class_name,usable_for_training,split,quality_pass,class_index
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\75917dbc3945.jpg,200mgTramadol,mgtramadol,mgtramadol,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\64686eb972c6.jpg,2016-03-05 sáb 182531 - Trimebutina Andrómaco,trimebutina andromaco,trimebutina andromaco,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\f4fbf3ae3d72.jpg,2023 Tribiotic,tribiotic,tribiotic,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\cf108003373e.jpg,610happu,happu,happu,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\6bd9081e4532.jpg,ABDIFLY Aripiprazole 15mg,abdifly aripiprazole 15mg,abdifly aripiprazole 15mg,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\4ac058616334.jpg,Accofil,accofil,accofil,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e0d9508bf18c.jpg,Acenocumarole,acenocumarole,acenocumarole,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\4c2b06a05582.jpg,ActivatedCharcoal,activatedcharcoal,activatedcharcoal,False,excluded,False,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\d22b970269f5.jpg,Adenosine (1),adenosine,adenosine,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\57848c482929.jpg,Adrenalin,adrenalin,adrenalin,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\4a14a587edd7.jpg,Advertisment for Calpol Wellcome L0034495,advertisment for calpol wellcome l0034495,advertisment for calpol wellcome l0034495,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\1cc5680f192a.jpg,Afobazole,afobazole,afobazole,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\febc5bbfa507.jpg,Aguja indolora Acofar,aguja indolora acofar,aguja indolora acofar,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e669dfbd00a7.jpg,"Alcover 17,5 - Gamma-Hydroxybutyric acid",alcover gamma-hydroxybutyric acid,alcover gamma hydroxybutyric acid,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\c9d91195453b.jpg,Aldactone,aldactone,aldactone,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\01a075e39bf6.jpg,Almacin,almacin,almacin,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\dd6f9e000a73.jpg,Alphagan Korean,alphagan korean,alphagan korean,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\b08c32daa910.jpg,Alte Sepso Präparate,alte sepso praparate,alte sepso praparate,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\6743bf9179dc.jpg,Aminoleban EN powder mix,aminoleban en powder mix,aminoleban en powder mix,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\60070b0bd8a2.jpg,Amiodarone UA,amiodarone ua,amiodarone ua,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\35369c2c4aa7.jpg,Amitriptyline gouttes,amitriptyline gouttes,amitriptyline gouttes,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\bfc72efa2b0b.jpg,"Ammonia inhalants, to revive patient from fainting of shock, to be used as smelling salts, front side",ammonia inhalants to revive patient from fainting of,ammonia inhalants to revive patient from fainting of,True,train,True,0
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\2c35ad7e0bf7.jpg,"Ammonia inhalants, to revive patient from fainting of shock, to be used as smelling salts",ammonia inhalants to revive patient from fainting of,ammonia inhalants to revive patient from fainting of,True,val,True,0
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\db4f0935e176.jpg,Amoxicilline Mylan 1g,amoxicilline mylan 1g,amoxicilline mylan 1g,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\f5cad105a983.jpg,Amoxiclav Sandoz Mylan,amoxiclav sandoz mylan,amoxiclav sandoz mylan,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\e36629a24a4c.jpg,"Anaesthesia; Ether can, c.1930 Wellcome L0018321",anaesthesia ether can c. wellcome l0018321,anaesthesia ether can c wellcome l0018321,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\de1dce601a6b.jpg,Andmekaeve retseptiravimite väljastamise monitooringus (PDMP),andmekaeve retseptiravimite valjastamise monitooringus pdmp,andmekaeve retseptiravimite valjastamise monitooringus pdmp,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\3a0f282a339e.jpg,Apaurin,apaurin,apaurin,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\d5876ec14f66.jpg,Apo-amlo 5 mg tbl,apo-amlo mg tbl,apo amlo mg tbl,False,excluded,True,
C:\Users\Eng-Azhar\OneDrive\Desktop\DL_IM_Project\yemen_drug_database\images\25cd8c4450a4.jpg,Aprovel Sales In China,aprovel sales in china,aprovel sales in china,False,excluded,True,
