record_id,market,drug_name_raw,active_ingredient,strength,dosage_form,manufacturer,package_image_file,image_source_url,image_direct_url,license,image_author,source_note
1,Yemen / global medicines,14418-broken-tamperproof-seal,,,,,images/0d3a2da721d2.jpg,https://commons.wikimedia.org/wiki/File%3A14418-broken-tamperproof-seal.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/14418-broken-tamperproof-seal.jpg,Public domain,CDC/ Debora Cartagena,Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
2,Yemen / global medicines,200mgTramadol,,,,,images/75917dbc3945.jpg,https://commons.wikimedia.org/wiki/File%3A200mgTramadol.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/200mgTramadol.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Rotellam1"" title=""User:Rotellam1"">Rotellam1</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
3,Yemen / global medicines,2016-03-05 sáb 182531 - Trimebutina Andrómaco,,,,,images/64686eb972c6.jpg,https://commons.wikimedia.org/wiki/File%3A2016-03-05_s%C3%A1b_182531_-_Trimebutina_Andr%C3%B3maco.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/2016-03-05_s%C3%A1b_182531_-_Trimebutina_Andr%C3%B3maco.jpg/1280px-2016-03-05_s%C3%A1b_182531_-_Trimebutina_Andr%C3%B3maco.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Soy_Juampayo"" title=""User:Soy Juampayo"">Juampayo de Pelo Largo</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
4,Yemen / global medicines,2017-05-31 Pharmacy Museum in Kraków 4,,,,,images/11f4cfdf47dd.jpg,https://commons.wikimedia.org/wiki/File%3A2017-05-31_Pharmacy_Museum_in_Krak%C3%B3w_4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2017-05-31_Pharmacy_Museum_in_Krak%C3%B3w_4.jpg/1280px-2017-05-31_Pharmacy_Museum_in_Krak%C3%B3w_4.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Maxim75"" title=""User:Maxim75"">Maksym Kozlenko</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
5,Yemen / global medicines,20190311 庆大霉素、参苓健脾胃,,,,,images/f2927a83456b.jpg,https://commons.wikimedia.org/wiki/File%3A20190311_%E5%BA%86%E5%A4%A7%E9%9C%89%E7%B4%A0%E3%80%81%E5%8F%82%E8%8B%93%E5%81%A5%E8%84%BE%E8%83%83.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/20190311_%E5%BA%86%E5%A4%A7%E9%9C%89%E7%B4%A0%E3%80%81%E5%8F%82%E8%8B%93%E5%81%A5%E8%84%BE%E8%83%83.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Ww9980"" title=""User:Ww9980"">WFan</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
6,Yemen / global medicines,20190311 庆大霉素反面,,,,,images/dc41fb65f9f0.jpg,https://commons.wikimedia.org/wiki/File%3A20190311_%E5%BA%86%E5%A4%A7%E9%9C%89%E7%B4%A0%E5%8F%8D%E9%9D%A2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/20190311_%E5%BA%86%E5%A4%A7%E9%9C%89%E7%B4%A0%E5%8F%8D%E9%9D%A2.jpg/1280px-20190311_%E5%BA%86%E5%A4%A7%E9%9C%89%E7%B4%A0%E5%8F%8D%E9%9D%A2.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Ww9980"" title=""User:Ww9980"">WFan</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
7,Yemen / global medicines,2023 Tribiotic,,,,,images/f4fbf3ae3d72.jpg,https://commons.wikimedia.org/wiki/File%3A2023_Tribiotic.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/2023_Tribiotic.jpg/1280px-2023_Tribiotic.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Jacek_Halicki"" title=""User:Jacek Halicki"">Jacek Halicki</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
8,Yemen / global medicines,610happu,,,,,images/cf108003373e.jpg,https://commons.wikimedia.org/wiki/File%3A610happu.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e7/610happu.JPG,CC BY 3.0,teruteru21,Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
9,Yemen / global medicines,64a01mdpqdyb1,,,,,images/9b80e85e1382.jpg,https://commons.wikimedia.org/wiki/File%3A64a01mdpqdyb1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/64a01mdpqdyb1.jpg/1280px-64a01mdpqdyb1.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Destaniderrico&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Destaniderrico (page does not exist)"">Destaniderrico</a>",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
10,Yemen / global medicines,A History Of Psychotropics - Flickr - schoschie,,,,,images/431c1c80d4c1.jpg,https://commons.wikimedia.org/wiki/File%3AA_History_Of_Psychotropics_-_Flickr_-_schoschie.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/A_History_Of_Psychotropics_-_Flickr_-_schoschie.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/87569910@N00"">Niels Heidenreich</a> from Hannover, Germany",Real packaging/photo file from Wikimedia Commons; medication identity and Yemen registration require local verification.
